year,month,daily rain
1971,11,0.48
1971,12,0.03
1971,12,0.03
1971,12,0.11
1971,12,1.41
1971,12,0.83
1971,12,0.80
1971,12,0.33
1971,12,1.06
1971,12,1.96
1971,12,0.59
1971,12,0.18
1972,1,0.17
1972,2,0.46
1972,4,0.16
1972,5,0.02
1972,6,0.01
1972,7,0.01
1972,10,0.01
1972,10,0.03
1972,11,0.19
1972,11,0.98
1972,11,1.95
1972,11,0.03
1972,11,1.27
1972,11,1.27
1972,12,0.58
1972,12,0.15
1973,1,0.50
1973,1,0.16
1973,1,0.13
1973,1,2.65
1973,1,0.44
1973,1,2.35
1973,1,0.01
1973,2,1.07
1973,2,0.56
1973,2,0.70
1973,2,3.62
1973,2,0.02
1973,2,0.03
1973,2,0.70
1973,2,0.52
1973,2,1.85
1973,3,0.01
1973,3,0.32
1973,3,0.50
1973,3,0.03
1973,3,0.22
1973,3,1.43
1973,3,0.38
1973,8,0.03
1973,10,0.08
1973,10,0.76
1973,11,0.10
1973,11,0.20
1973,11,1.16
1973,11,0.51
1973,12,1.20
1973,12,0.16
1973,12,0.01
1973,12,0.15
1974,1,0.15
1974,1,1.55
1974,1,3.88
1974,1,0.85
1974,1,0.24
1974,1,0.74
1974,1,0.02
1974,1,0.15
1974,3,0.19
1974,3,1.90
1974,3,0.46
1974,3,1.25
1974,3,0.09
1974,3,0.76
1974,3,0.05
1974,3,0.28
1974,4,0.23
1974,4,0.10
1974,7,0.05
1974,10,0.10
1974,10,0.07
1974,10,0.51
1974,10,0.32
1974,11,0.09
1974,12,4.80
1974,12,2.55
1974,12,0.02
1975,1,0.01
1975,1,0.56
1975,2,0.37
1975,2,0.15
1975,2,2.68
1975,2,0.06
1975,2,0.21
1975,2,2.10
1975,3,1.08
1975,3,0.57
1975,3,0.90
1975,3,0.16
1975,3,0.23
1975,3,0.06
1975,3,0.40
1975,3,0.13
1975,3,0.40
1975,4,0.82
1975,4,0.02
1975,4,0.03
1975,8,0.01
1975,10,0.18
1975,10,0.13
1975,11,0.18
1975,12,0.12
1976,2,0.11
1976,2,0.71
1976,2,0.40
1976,2,0.65
1976,2,2.40
1976,2,1.18
1976,2,0.03
1976,3,1.30
1976,3,0.01
1976,3,0.64
1976,3,0.04
1976,4,0.16
1976,4,0.31
1976,4,0.01
1976,4,0.08
1976,4,0.55
1976,4,0.03
1976,4,0.01
1976,5,0.01
1976,6,0.26
1976,7,0.01
1976,9,0.17
1976,9,2.13
1976,9,1.68
1976,9,0.03
1976,10,0.07
1976,10,0.13
1976,11,0.85
1976,12,0.50
1976,12,0.37
1977,1,2.55
1977,1,0.72
1977,1,0.49
1977,1,0.08
1977,1,0.05
1977,2,0.19
1977,3,0.92
1977,3,0.26
1977,3,0.40
1977,5,0.46
1977,5,1.35
1977,5,1.32
1977,5,0.17
1977,11,0.68
1977,12,0.02
1977,12,0.53
1977,12,0.07
1977,12,0.02
1977,12,0.72
1977,12,5.15
1977,12,0.14
1978,1,0.16
1978,1,0.12
1978,1,0.50
1978,1,0.66
1978,1,0.14
1978,1,1.40
1978,1,2.02
1978,1,2.65
1978,1,3.00
1978,1,0.46
1978,2,0.66
1978,2,0.20
1978,2,1.50
1978,2,2.50
1978,2,3.60
1978,2,1.25
1978,2,0.15
1978,3,2.00
1978,3,0.56
1978,3,0.53
1978,3,3.50
1978,3,0.52
1978,3,0.18
1978,3,0.15
1978,3,0.52
1978,3,2.05
1978,3,0.06
1978,3,0.07
1978,3,0.17
1978,3,1.38
1978,4,0.21
1978,4,0.24
1978,4,0.33
1978,4,0.02
1978,4,1.25
1978,4,0.15
1978,4,0.07
1978,6,0.08
1978,9,0.47
1978,9,0.74
1978,11,0.32
1978,11,0.31
1978,11,0.28
1978,11,0.05
1978,11,0.09
1978,11,1.10
1978,11,1.04
1978,12,0.02
1978,12,0.13
1978,12,0.59
1978,12,0.78
1979,1,0.49
1979,1,1.17
1979,1,0.16
1979,1,0.98
1979,1,0.26
1979,1,0.16
1979,1,0.12
1979,1,0.09
1979,1,0.42
1979,2,0.70
1979,2,0.10
1979,2,0.16
1979,2,1.25
1979,2,0.16
1979,2,1.55
1979,2,0.34
1979,2,0.75
1979,3,0.54
1979,3,0.02
1979,3,0.01
1979,3,0.21
1979,3,1.25
1979,3,0.02
1979,3,0.40
1979,3,0.06
1979,3,2.55
1979,3,1.06
1979,3,0.82
1979,9,0.88
1979,9,0.03
1979,10,0.05
1979,10,0.45
1979,11,0.08
1979,11,0.40
1979,12,0.01
1979,12,0.05
1979,12,1.20
1980,1,2.25
1980,1,0.11
1980,1,1.50
1980,1,0.38
1980,1,0.03
1980,1,0.87
1980,1,0.07
1980,1,0.03
1980,1,0.08
1980,1,0.92
1980,2,0.06
1980,2,0.25
1980,2,0.69
1980,2,1.01
1980,2,3.77
1980,2,2.60
1980,2,0.41
1980,2,0.30
1980,2,1.07
1980,2,0.29
1980,3,0.81
1980,3,0.01
1980,3,0.30
1980,3,2.08
1980,3,0.02
1980,3,0.14
1980,4,0.04
1980,4,0.17
1980,4,0.12
1980,4,0.41
1980,5,0.03
1980,5,0.11
1980,5,0.08
1980,7,0.48
1980,12,1.79
1980,12,0.12
1981,1,0.70
1981,1,1.55
1981,1,0.80
1981,1,0.19
1981,2,0.10
1981,2,1.48
1981,2,0.02
1981,2,0.87
1981,2,0.06
1981,3,1.77
1981,3,0.72
1981,3,0.11
1981,3,2.27
1981,3,0.12
1981,3,1.20
1981,4,0.43
1981,10,0.19
1981,10,0.55
1981,11,0.02
1981,11,0.82
1981,11,0.04
1981,11,0.67
1981,11,0.88
1981,11,0.02
1981,12,0.02
