year,month,quarter,daily rain
1972,1,1,0.17
1972,2,1,0.46
1972,4,2,0.16
1972,5,2,0.02
1972,6,2,0.01
1972,7,3,0.01
1972,10,4,0.01
1972,10,4,0.03
1972,11,4,0.19
1972,11,4,0.98
1972,11,4,1.95
1972,11,4,0.03
1972,11,4,1.27
1972,11,4,1.27
1972,12,4,0.58
1972,12,4,0.15
1973,1,1,0.50
1973,1,1,0.16
1973,1,1,0.13
1973,1,1,2.65
1973,1,1,0.44
1973,1,1,2.35
1973,1,1,0.01
1973,2,1,1.07
1973,2,1,0.56
1973,2,1,0.70
1973,2,1,3.62
1973,2,1,0.02
1973,2,1,0.03
1973,2,1,0.70
1973,2,1,0.52
1973,2,1,1.85
1973,3,1,0.01
1973,3,1,0.32
1973,3,1,0.50
1973,3,1,0.03
1973,3,1,0.22
1973,3,1,1.43
1973,3,1,0.38
1973,8,3,0.03
1973,10,4,0.08
1973,10,4,0.76
1973,11,4,0.10
1973,11,4,0.20
1973,11,4,1.16
1973,11,4,0.51
1973,12,4,1.20
1973,12,4,0.16
1973,12,4,0.01
1973,12,4,0.15
1974,1,1,0.15
1974,1,1,1.55
1974,1,1,3.88
1974,1,1,0.85
1974,1,1,0.24
1974,1,1,0.74
1974,1,1,0.02
1974,1,1,0.15
1974,3,1,0.19
1974,3,1,1.90
1974,3,1,0.46
1974,3,1,1.25
1974,3,1,0.09
1974,3,1,0.76
1974,3,1,0.05
1974,3,1,0.28
1974,4,2,0.23
1974,4,2,0.10
1974,7,3,0.05
1974,10,4,0.10
1974,10,4,0.07
1974,10,4,0.51
1974,10,4,0.32
1974,11,4,0.09
1974,12,4,4.80
1974,12,4,2.55
1974,12,4,0.02
1975,1,1,0.01
1975,1,1,0.56
1975,2,1,0.37
1975,2,1,0.15
1975,2,1,2.68
1975,2,1,0.06
1975,2,1,0.21
1975,2,1,2.10
1975,3,1,1.08
1975,3,1,0.57
1975,3,1,0.90
1975,3,1,0.16
1975,3,1,0.23
1975,3,1,0.06
1975,3,1,0.40
1975,3,1,0.13
1975,3,1,0.40
1975,4,2,0.82
1975,4,2,0.02
1975,4,2,0.03
1975,8,3,0.01
1975,10,4,0.18
1975,10,4,0.13
1975,11,4,0.18
1975,12,4,0.12
1976,2,1,0.11
1976,2,1,0.71
1976,2,1,0.40
1976,2,1,0.65
1976,2,1,2.40
1976,2,1,1.18
1976,2,1,0.03
1976,3,1,1.30
1976,3,1,0.01
1976,3,1,0.64
1976,3,1,0.04
1976,4,2,0.16
1976,4,2,0.31
1976,4,2,0.01
1976,4,2,0.08
1976,4,2,0.55
1976,4,2,0.03
1976,4,2,0.01
1976,5,2,0.01
1976,6,2,0.26
1976,7,3,0.01
1976,9,3,0.17
1976,9,3,2.13
1976,9,3,1.68
1976,9,3,0.03
1976,10,4,0.07
1976,10,4,0.13
1976,11,4,0.85
1976,12,4,0.50
1976,12,4,0.37
1977,1,1,2.55
1977,1,1,0.72
1977,1,1,0.49
1977,1,1,0.08
1977,1,1,0.05
1977,2,1,0.19
1977,3,1,0.92
1977,3,1,0.26
1977,3,1,0.40
1977,5,2,0.46
1977,5,2,1.35
1977,5,2,1.32
1977,5,2,0.17
1977,11,4,0.68
1977,12,4,0.02
1977,12,4,0.53
1977,12,4,0.07
1977,12,4,0.02
1977,12,4,0.72
1977,12,4,5.15
1977,12,4,0.14
1978,1,1,0.16
1978,1,1,0.12
1978,1,1,0.50
1978,1,1,0.66
1978,1,1,0.14
1978,1,1,1.40
1978,1,1,2.02
1978,1,1,2.65
1978,1,1,3.00
1978,1,1,0.46
1978,2,1,0.66
1978,2,1,0.20
1978,2,1,1.50
1978,2,1,2.50
1978,2,1,3.60
1978,2,1,1.25
1978,2,1,0.15
1978,3,1,2.00
1978,3,1,0.56
1978,3,1,0.53
1978,3,1,3.50
1978,3,1,0.52
1978,3,1,0.18
1978,3,1,0.15
1978,3,1,0.52
1978,3,1,2.05
1978,3,1,0.06
1978,3,1,0.07
1978,3,1,0.17
1978,3,1,1.38
1978,4,2,0.21
1978,4,2,0.24
1978,4,2,0.33
1978,4,2,0.02
1978,4,2,1.25
1978,4,2,0.15
1978,4,2,0.07
1978,6,2,0.08
1978,9,3,0.47
1978,9,3,0.74
1978,11,4,0.32
1978,11,4,0.31
1978,11,4,0.28
1978,11,4,0.05
1978,11,4,0.09
1978,11,4,1.10
1978,11,4,1.04
1978,12,4,0.02
1978,12,4,0.13
1978,12,4,0.59
1978,12,4,0.78
1979,1,1,0.49
1979,1,1,1.17
1979,1,1,0.16
1979,1,1,0.98
1979,1,1,0.26
1979,1,1,0.16
1979,1,1,0.12
1979,1,1,0.09
1979,1,1,0.42
1979,2,1,0.70
1979,2,1,0.10
1979,2,1,0.16
1979,2,1,1.25
1979,2,1,0.16
1979,2,1,1.55
1979,2,1,0.34
1979,2,1,0.75
1979,3,1,0.54
1979,3,1,0.02
1979,3,1,0.01
1979,3,1,0.21
1979,3,1,1.25
1979,3,1,0.02
1979,3,1,0.40
1979,3,1,0.06
1979,3,1,2.55
1979,3,1,1.06
1979,3,1,0.82
1979,9,3,0.88
1979,9,3,0.03
1979,10,4,0.05
1979,10,4,0.45
1979,11,4,0.08
1979,11,4,0.40
1979,12,4,0.01
1979,12,4,0.05
1979,12,4,1.20
1980,1,1,2.25
1980,1,1,0.11
1980,1,1,1.50
1980,1,1,0.38
1980,1,1,0.03
1980,1,1,0.87
1980,1,1,0.07
1980,1,1,0.03
1980,1,1,0.08
1980,1,1,0.92
1980,2,1,0.06
1980,2,1,0.25
1980,2,1,0.69
1980,2,1,1.01
1980,2,1,3.77
1980,2,1,2.60
1980,2,1,0.41
1980,2,1,0.30
1980,2,1,1.07
1980,2,1,0.29
1980,3,1,0.81
1980,3,1,0.01
1980,3,1,0.30
1980,3,1,2.08
1980,3,1,0.02
1980,3,1,0.14
1980,4,2,0.04
1980,4,2,0.17
1980,4,2,0.12
1980,4,2,0.41
1980,5,2,0.03
1980,5,2,0.11
1980,5,2,0.08
1980,7,3,0.48
1980,12,4,1.79
1980,12,4,0.12
1981,1,1,0.70
1981,1,1,1.55
1981,1,1,0.80
1981,1,1,0.19
1981,2,1,0.10
1981,2,1,1.48
1981,2,1,0.02
1981,2,1,0.87
1981,2,1,0.06
1981,3,1,1.77
1981,3,1,0.72
1981,3,1,0.11
1981,3,1,2.27
1981,3,1,0.12
1981,3,1,1.20
1981,4,2,0.43
1981,10,4,0.19
1981,10,4,0.55
1981,11,4,0.02
1981,11,4,0.82
1981,11,4,0.04
1981,11,4,0.67
1981,11,4,0.88
1981,11,4,0.02
1981,12,4,0.02
1981,12,4,0.70
1981,12,4,0.02
1982,1,1,0.20
1982,1,1,0.91
1982,1,1,0.03
1982,1,1,0.59
1982,1,1,0.78
1982,1,1,0.01
1982,1,1,0.07
1982,2,1,0.33
1982,2,1,0.09
1982,3,1,0.54
1982,3,1,0.03
1982,3,1,0.02
1982,3,1,0.32
1982,3,1,0.90
1982,3,1,1.00
1982,3,1,0.40
1982,3,1,0.30
1982,3,1,1.35
1982,3,1,0.60
1982,3,1,0.06
1982,3,1,0.36
1982,3,1,0.79
1982,3,1,0.05
1982,4,2,0.89
1982,4,2,0.10
1982,4,2,0.75
1982,4,2,0.85
1982,6,2,0.02
1982,6,2,0.01
1982,9,3,0.65
1982,9,3,0.25
1982,9,3,0.02
1982,9,3,1.15
1982,10,4,0.22
1982,10,4,0.41
1982,11,4,0.09
1982,11,4,1.76
1982,11,4,0.04
1982,11,4,0.90
1982,11,4,0.05
1982,11,4,0.02
1982,11,4,0.52
1982,11,4,1.80
1982,12,4,0.22
1982,12,4,1.05
1982,12,4,1.80
1983,1,1,0.94
1983,1,1,0.25
1983,1,1,3.85
1983,1,1,1.80
1983,1,1,0.03
1983,1,1,2.50
1983,1,1,0.33
1983,1,1,1.85
1983,2,1,0.24
1983,2,1,0.60
1983,2,1,1.09
1983,2,1,0.54
1983,2,1,0.44
1983,2,1,0.02
1983,2,1,1.50
1983,2,1,2.45
1983,2,1,0.31
1983,3,1,0.92
1983,3,1,1.12
1983,3,1,0.22
1983,3,1,0.03
1983,3,1,0.11
1983,3,1,0.26
1983,3,1,0.27
1983,3,1,0.39
1983,3,1,0.43
1983,3,1,1.07
1983,3,1,0.12
1983,3,1,0.54
1983,3,1,0.10
1983,3,1,0.08
1983,4,2,1.43
1983,4,2,0.37
1983,4,2,1.00
1983,4,2,0.72
1983,4,2,0.01
1983,4,2,0.30
1983,4,2,0.28
1983,4,2,0.06
1983,5,2,0.34
1983,8,3,0.08
1983,8,3,1.47
1983,9,3,0.10
1983,9,3,0.64
1983,10,4,2.88
1983,10,4,0.02
1983,10,4,0.03
1983,11,4,0.12
1983,11,4,0.72
1983,11,4,0.84
1983,11,4,0.60
1983,11,4,0.07
1983,11,4,0.95
1983,12,4,1.09
1983,12,4,0.92
1983,12,4,0.70
1983,12,4,2.50
1983,12,4,0.16
1984,1,1,0.10
1984,2,1,0.14
1984,3,1,0.53
1984,4,2,0.02
1984,4,2,0.10
1984,8,3,0.12
1984,9,3,0.03
1984,9,3,0.55
1984,10,4,0.32
1984,11,4,0.51
1984,11,4,0.58
1984,11,4,0.03
1984,11,4,0.05
1984,11,4,0.54
1984,11,4,0.17
1984,12,4,0.12
1984,12,4,1.08
1984,12,4,0.19
1984,12,4,0.21
1984,12,4,0.82
1984,12,4,0.01
1984,12,4,0.80
1984,12,4,0.88
1985,1,1,0.08
1985,1,1,0.04
1985,1,1,0.25
1985,1,1,0.39
1985,2,1,0.08
1985,2,1,2.50
1985,3,1,0.16
1985,3,1,0.13
1985,3,1,0.50
1985,3,1,0.08
1985,3,1,0.10
1985,3,1,0.60
1985,3,1,0.11
1985,3,1,0.05
1985,9,3,0.10
1985,10,4,0.07
1985,10,4,0.03
1985,10,4,0.51
1985,11,4,0.50
1985,11,4,0.03
1985,11,4,1.60
1985,11,4,0.68
1985,11,4,0.99
1985,11,4,0.26
1985,12,4,0.65
1985,12,4,0.12
1985,12,4,0.12
1986,1,1,0.78
1986,1,1,0.92
1986,1,1,0.10
1986,2,1,0.34
1986,2,1,0.04
1986,2,1,0.11
1986,2,1,2.75
1986,2,1,1.12
1986,2,1,2.05
1986,2,1,0.61
1986,2,1,1.52
1986,3,1,0.35
1986,3,1,1.30
1986,3,1,0.75
1986,3,1,0.35
1986,3,1,0.24
1986,3,1,0.39
1986,3,1,2.38
1986,3,1,0.17
1986,4,2,0.39
1986,4,2,0.12
1986,4,2,0.41
1986,9,3,0.18
1986,9,3,1.42
1986,11,4,1.24
1986,12,4,0.22
1987,1,1,0.75
1987,1,1,0.50
1987,1,1,0.59
1987,2,1,0.12
1987,2,1,0.60
1987,2,1,0.25
1987,2,1,0.60
1987,2,1,0.16
1987,2,1,0.29
1987,2,1,0.13
1987,2,1,0.05
1987,2,1,0.22
1987,3,1,1.05
1987,3,1,2.26
1987,3,1,0.12
